"Category","Brand Name","Brand Slug","Model Name","Model Slug","Variant Storage","Variant RAM","Base Buyout Price (INR)","Popular","Active","Image Link"
"LAPTOP","Acer","acer","Acer Chromebook Series","acer-chromebook-series","Standard","","3899","NO","YES","https://www.cashall.in/api/v1/catalog/image/acer-chromebook-series"
"LAPTOP","Acer","acer","Aspire 3 Series","aspire-3-series","Standard","","8403","NO","YES","https://www.cashall.in/api/v1/catalog/image/aspire-3-series"
"LAPTOP","Acer","acer","Aspire 5 Series","aspire-5-series","Standard","","13877","NO","YES","https://www.cashall.in/api/v1/catalog/image/aspire-5-series"
"LAPTOP","Acer","acer","Aspire 7 Series","aspire-7-series","Standard","","17311","NO","YES","https://www.cashall.in/api/v1/catalog/image/aspire-7-series"
"LAPTOP","Acer","acer","Aspire E Series","aspire-e-series","Standard","","9332","NO","YES","https://www.cashall.in/api/v1/catalog/image/aspire-e-series"
"LAPTOP","Acer","acer","Aspire One Series","aspire-one-series","Standard","","3606","NO","YES","https://www.cashall.in/api/v1/catalog/image/aspire-one-series"
"LAPTOP","Acer","acer","Aspire Series","aspire-series","Standard","","7747","NO","YES","https://www.cashall.in/api/v1/catalog/image/aspire-series"
"LAPTOP","Acer","acer","ConceptD 3 Series","conceptd-3-series","Standard","","26997","NO","YES","https://www.cashall.in/api/v1/catalog/image/conceptd-3-series"
"LAPTOP","Acer","acer","ConceptD 5 Series","conceptd-5-series","Standard","","28573","NO","YES","https://www.cashall.in/api/v1/catalog/image/conceptd-5-series"
"LAPTOP","Acer","acer","ConceptD 7 Series","conceptd-7-series","Standard","","30977","NO","YES","https://www.cashall.in/api/v1/catalog/image/conceptd-7-series"
"LAPTOP","Acer","acer","ConceptD 9 Series","conceptd-9-series","Standard","","32098","NO","YES","https://www.cashall.in/api/v1/catalog/image/conceptd-9-series"
"LAPTOP","Acer","acer","Extensa Series","extensa-series","Standard","","0","NO","YES","https://www.cashall.in/api/v1/catalog/image/extensa-series"
"LAPTOP","Acer","acer","Nitro 5 Series","nitro-5-series","Standard","","15544","NO","YES","https://www.cashall.in/api/v1/catalog/image/nitro-5-series"
"LAPTOP","Acer","acer","Nitro 5 Spin Series","nitro-5-spin-series","Standard","","15251","NO","YES","https://www.cashall.in/api/v1/catalog/image/nitro-5-spin-series"
"LAPTOP","Acer","acer","Nitro 7 Series","nitro-7-series","Standard","","16069","NO","YES","https://www.cashall.in/api/v1/catalog/image/nitro-7-series"
"LAPTOP","Acer","acer","Nitro Spin Series","nitro-spin-series","Standard","","13453","NO","YES","https://www.cashall.in/api/v1/catalog/image/nitro-spin-series"
"LAPTOP","Acer","acer","Other Acer Series","other-acer-series","Standard","","4282","NO","YES","https://www.cashall.in/api/v1/catalog/image/other-acer-series"
"LAPTOP","Acer","acer","Predator 15 Series","predator-15-series","Standard","","17029","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-15-series"
"LAPTOP","Acer","acer","Predator 17 Series","predator-17-series","Standard","","17887","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-17-series"
"LAPTOP","Acer","acer","Predator 21x Series","predator-21x-series","Standard","","18847","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-21x-series"
"LAPTOP","Acer","acer","Predator Helios 300 Series","predator-helios-300-series","Standard","","21139","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-helios-300-series"
"LAPTOP","Acer","acer","Predator Helios 500 Series","predator-helios-500-series","Standard","","23967","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-helios-500-series"
"LAPTOP","Acer","acer","Predator Helios 700 Series","predator-helios-700-series","Standard","","28381","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-helios-700-series"
"LAPTOP","Acer","acer","Predator Series","predator-series","Standard","","14120","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-series"
"LAPTOP","Acer","acer","Predator Triton 300 Series","predator-triton-300-series","Standard","","18948","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-triton-300-series"
"LAPTOP","Acer","acer","Predator Triton 500 Series","predator-triton-500-series","Standard","","21341","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-triton-500-series"
"LAPTOP","Acer","acer","Predator Triton 700 Series","predator-triton-700-series","Standard","","21715","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-triton-700-series"
"LAPTOP","Acer","acer","Predator Triton 900 Series","predator-triton-900-series","Standard","","24472","NO","YES","https://www.cashall.in/api/v1/catalog/image/predator-triton-900-series"
"LAPTOP","Acer","acer","Spin 1 Series","spin-1-series","Standard","","4282","NO","YES","https://www.cashall.in/api/v1/catalog/image/spin-1-series"
"LAPTOP","Acer","acer","Spin 3 Series","spin-3-series","Standard","","8403","NO","YES","https://www.cashall.in/api/v1/catalog/image/spin-3-series"
"LAPTOP","Acer","acer","Spin 5 Series","spin-5-series","Standard","","9938","NO","YES","https://www.cashall.in/api/v1/catalog/image/spin-5-series"
"LAPTOP","Acer","acer","Spin 7 Series","spin-7-series","Standard","","17412","NO","YES","https://www.cashall.in/api/v1/catalog/image/spin-7-series"
"LAPTOP","Acer","acer","Spin Series","spin-series","Standard","","11181","NO","YES","https://www.cashall.in/api/v1/catalog/image/spin-series"
