"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category"
"v-m-laptop-hp-200-series-standard","Sell 200 Series for Instant Cash | CashALL","Sell your used 200 Series on CashALL. Get instant valuation up to ₹45,450, free doorstep verification, and instant bank/UPI payment.","in stock","used","45450.00 INR","https://www.cashall.in/sell/laptop/hp/200-series","https://www.cashall.in/api/v1/catalog/image/200-series","HP","Electronics > Computers > Laptops","laptop"
"v-m-laptop-acer-acer-chromebook-series-standard","Sell Acer Chromebook Series for Instant Cash | CashALL","Sell your used Acer Chromebook Series on CashALL. Get instant valuation up to ₹3,899, free doorstep verification, and instant bank/UPI payment.","in stock","used","3899.00 INR","https://www.cashall.in/sell/laptop/acer/acer-chromebook-series","https://www.cashall.in/api/v1/catalog/image/acer-chromebook-series","Acer","Electronics > Computers > Laptops","laptop"
"v-m-laptop-avita-admiror-series-standard","Sell Admiror Series for Instant Cash | CashALL","Sell your used Admiror Series on CashALL. Get instant valuation up to ₹10,918, free doorstep verification, and instant bank/UPI payment.","in stock","used","10918.00 INR","https://www.cashall.in/sell/laptop/avita/admiror-series","https://www.cashall.in/api/v1/catalog/image/admiror-series","AVITA","Electronics > Computers > Laptops","laptop"
"v-m-laptop-dell-alienware-series-standard","Sell Alienware Series for Instant Cash | CashALL","Sell your used Alienware Series on CashALL. Get instant valuation up to ₹17,877, free doorstep verification, and instant bank/UPI payment.","in stock","used","17877.00 INR","https://www.cashall.in/sell/laptop/dell/alienware-series","https://www.cashall.in/api/v1/catalog/image/alienware-series","Dell","Electronics > Computers > Laptops","laptop"
"v-m-laptop-msi-alpha-series-standard","Sell Alpha Series for Instant Cash | CashALL","Sell your used Alpha Series on CashALL. Get instant valuation up to ₹17,422, free doorstep verification, and instant bank/UPI payment.","in stock","used","17422.00 INR","https://www.cashall.in/sell/laptop/msi/alpha-series","https://www.cashall.in/api/v1/catalog/image/alpha-series","MSI","Electronics > Computers > Laptops","laptop"
"v-m-apple-apple-iphone-11-128-gb","Sell Apple iPhone 11 (128 GB) for Instant Cash | CashALL","Sell your used Apple iPhone 11 (128 GB) on CashALL. Get instant valuation up to ₹15,708, free doorstep verification, and instant bank/UPI payment.","in stock","used","15708.00 INR","https://www.cashall.in/sell/mobile/apple/apple-iphone-11","https://www.cashall.in/api/v1/catalog/image/apple-iphone-11","Apple","Electronics > Communications > Telephony > Mobile Phones","mobile"
"v-m-apple-apple-iphone-11-256-gb","Sell Apple iPhone 11 (256 GB) for Instant Cash | CashALL","Sell your used Apple iPhone 11 (256 GB) on CashALL. Get instant valuation up to ₹16,236, free doorstep verification, and instant bank/UPI payment.","in stock","used","16236.00 INR","https://www.cashall.in/sell/mobile/apple/apple-iphone-11","https://www.cashall.in/api/v1/catalog/image/apple-iphone-11","Apple","Electronics > Communications > Telephony > Mobile Phones","mobile"
"v-m-apple-apple-iphone-11-64-gb","Sell Apple iPhone 11 (64 GB) for Instant Cash | CashALL","Sell your used Apple iPhone 11 (64 GB) on CashALL. Get instant valuation up to ₹14,663, free doorstep verification, and instant bank/UPI payment.","in stock","used","14663.00 INR","https://www.cashall.in/sell/mobile/apple/apple-iphone-11","https://www.cashall.in/api/v1/catalog/image/apple-iphone-11","Apple","Electronics > Communications > Telephony > Mobile Phones","mobile"
"v-m-apple-apple-iphone-11-pro-256-gb","Sell Apple iPhone 11 Pro (256 GB) for Instant Cash | CashALL","Sell your used Apple iPhone 11 Pro (256 GB) on CashALL. Get instant valuation up to ₹18,962, free doorstep verification, and instant bank/UPI payment.","in stock","used","18962.00 INR","https://www.cashall.in/sell/mobile/apple/apple-iphone-11-pro","https://www.cashall.in/api/v1/catalog/image/apple-iphone-11-pro","Apple","Electronics > Communications > Telephony > Mobile Phones","mobile"
"v-m-apple-apple-iphone-11-pro-512-gb","Sell Apple iPhone 11 Pro (512 GB) for Instant Cash | CashALL","Sell your used Apple iPhone 11 Pro (512 GB) on CashALL. Get instant valuation up to ₹20,064, free doorstep verification, and instant bank/UPI payment.","in stock","used","20064.00 INR","https://www.cashall.in/sell/mobile/apple/apple-iphone-11-pro","https://www.cashall.in/api/v1/catalog/image/apple-iphone-11-pro","Apple","Electronics > Communications > Telephony > Mobile Phones","mobile"
